app_id,helpful,funny,date,is_recommended,hours,user_id,review_id
602960,2,0,2019-06-05,True,54.9,6956683,2025
1229490,160,20,2020-09-03,True,3.3,9843409,3813
814380,3,2,2022-05-01,True,89.2,9222687,4330
275850,2,0,2016-08-12,True,647.9,1931068,7592
435150,0,0,2019-06-10,True,22.0,5326369,7775
440900,0,0,2017-01-31,True,24.6,6584890,7872
377160,0,0,2018-02-03,True,22.0,4708858,9773
377160,0,0,2022-05-08,True,69.9,5252824,10544
1794680,0,0,2022-04-18,True,28.3,13922225,12758
534380,0,0,2022-02-03,False,0.2,3911775,15641
413150,0,0,2019-10-26,True,470.2,424834,16320
1245620,2,0,2022-02-24,False,134.6,806839,19174
377160,0,0,2020-07-23,True,103.4,11849357,21693
107410,0,0,2017-03-18,True,51.6,2002565,23406
550,10,0,2019-06-29,True,685.2,6047076,26555
1938090,2,2,2022-10-28,False,79.0,2189885,26655
1091500,0,0,2020-12-09,False,52.2,6222737,29241
250900,0,0,2022-01-10,True,42.5,4510913,29936
1063730,2,0,2021-11-24,False,97.3,5901876,38515
1599340,0,0,2022-02-15,True,624.3,8654527,40741
1096530,2,0,2021-03-28,False,3.6,13235729,42642
271590,2,0,2017-07-29,False,445.2,5238482,46085
548430,2,0,2018-09-28,True,185.5,11469481,47424
289070,0,0,2017-05-09,False,26.7,11674255,49576
107410,0,0,2014-07-26,True,25.9,5003527,51540
1085660,5,0,2019-10-07,True,996.2,5242025,52060
1332010,0,0,2022-07-20,True,8.9,7971078,53707
1599340,0,0,2022-02-13,False,1.6,14125076,56627
252490,0,0,2022-05-26,False,9.4,9555632,60423
1184370,0,0,2021-09-02,True,155.7,13235729,61349
546560,0,0,2021-12-04,True,15.8,12272735,64369
493520,0,0,2020-02-07,True,0.3,838460,66648
255710,2,0,2015-10-19,True,152.8,11334978,67272
291550,0,0,2021-11-07,True,13.5,4148859,69951
275850,4,0,2022-03-09,True,25.7,1169064,70091
534380,0,0,2022-12-24,True,41.6,5671774,70565
105600,3,0,2021-03-27,True,533.2,13559623,74844
244210,0,0,2021-04-12,True,135.8,2143416,74891
440900,0,0,2020-02-18,True,146.2,9884816,78061
1144200,0,2,2021-12-17,True,21.4,3986268,78466
377160,0,0,2017-05-29,True,100.7,1361048,82775
858820,0,0,2021-07-30,False,16.7,11936036,87353
534380,0,0,2022-05-04,False,60.7,11515038,88213
221680,0,0,2019-12-29,True,68.8,5204982,90697
1151340,0,2,2021-01-14,True,7.8,6254863,91326
239030,0,0,2019-11-20,True,7.1,3037756,94526
271590,4,0,2018-06-25,False,164.1,4648289,100445
107410,0,0,2022-07-26,False,145.0,7868872,100572
493520,0,0,2019-12-27,True,24.2,3037756,101590
244850,0,0,2016-02-15,True,6.9,4152896,101637
275850,0,0,2019-08-17,True,13.5,12118971,102037
271590,0,0,2020-12-09,True,53.3,8708193,102369
374320,0,0,2016-04-16,True,365.8,806839,104864
381210,3,0,2016-12-15,False,0.4,12013219,106840
39210,0,0,2017-12-21,True,50.8,11389128,109959
359550,2,0,2020-02-02,True,429.0,9169269,111425
4000,2,0,2016-04-03,True,21.5,6675857,113750
686810,0,0,2020-07-17,False,0.5,5519932,113946
1151640,3,2,2020-08-17,False,6.3,13259907,119556
1151340,0,0,2020-04-18,True,84.8,9566009,119955
381210,0,0,2021-01-25,True,23.6,2835666,120225
1599340,0,0,2022-02-12,False,580.0,6735425,123200
230410,0,0,2020-07-19,True,133.9,3008288,124041
739630,0,0,2021-11-07,True,108.8,8643733,131877
221680,0,0,2019-02-14,True,128.1,6427023,136219
678950,3,0,2018-01-27,True,58.8,1865097,136826
620980,0,0,2018-05-10,True,3.3,11477812,140164
1174180,0,0,2022-12-07,True,37.8,6609795,144239
292030,7,2,2018-02-21,False,80.2,4708858,145064
250900,0,0,2022-01-17,True,368.1,12964777,147216
202970,12,4,2017-06-10,True,0.3,12118971,148989
976730,2,0,2020-11-22,True,90.8,5769611,149759
1824220,0,0,2022-06-18,False,19.4,5519932,150940
602960,0,0,2022-02-13,True,64.5,11119579,151484
275850,4,0,2016-09-02,True,838.1,4732203,153444
489830,0,0,2020-01-22,True,161.8,11849357,155506
238960,0,0,2018-02-14,True,94.9,13206928,157071
271590,0,0,2015-04-14,True,112.1,14236165,158432
292030,2,0,2020-07-06,False,16.3,5631937,159368
394360,0,0,2018-12-31,True,712.4,4923155,159566
374320,3,8,2018-11-25,False,6.1,4192334,162595
730,4,2,2014-09-03,True,573.0,12064297,162976
1196590,0,0,2022-06-18,True,16.5,5213696,163190
1172470,0,0,2021-08-03,True,23.3,3986268,163969
1313140,0,0,2022-08-16,True,0.1,12703894,165809
976730,0,0,2019-12-13,True,135.6,13259907,167486
1172470,8,0,2021-02-06,False,128.9,6036917,168282
255710,0,0,2018-10-27,True,271.6,11219735,170147
1217060,0,0,2021-11-27,True,46.6,2058113,173280
1419170,0,0,2022-11-03,True,5.2,12870454,173636
629730,0,0,2020-08-23,True,53.1,10916049,174558
238960,0,0,2018-03-17,False,8.6,11439374,176331
238960,0,0,2014-08-27,True,7.6,10833603,176493
47890,2,0,2022-08-08,True,15.5,14162292,180285
244850,5,0,2015-11-20,False,5.6,1470009,180815
239030,9,0,2014-10-29,True,7.7,6446535,182052
264710,0,0,2020-08-28,True,44.0,4742380,183939
275850,2,0,2016-09-01,False,5.7,4031460,184725
377160,3,0,2020-06-28,True,10.1,12915709,184838
394360,0,0,2019-07-01,True,164.7,4152896,185145
632360,0,0,2021-09-24,True,151.8,10694182,186333
306130,0,0,2020-10-13,True,49.2,6609795,189181
284160,0,0,2019-12-07,True,744.7,5769611,189743
1091500,0,0,2020-12-14,True,104.0,4508940,190512
1659420,0,0,2022-11-12,True,56.2,13125001,191187
613100,0,0,2021-12-16,True,4.3,11142971,196266
294100,0,0,2020-12-29,True,33.4,4618223,196596
1091500,2,0,2022-10-31,True,87.3,2143416,199796
271590,0,0,2015-04-23,True,71.8,2438789,200731
374320,0,0,2017-08-03,True,669.0,5046242,203263
632360,0,0,2019-03-31,True,214.3,4091958,204363
1091500,100,0,2021-09-20,True,51.2,5587088,204380
1142710,0,0,2022-02-25,True,695.3,12676694,204456
242760,27,2,2017-09-12,True,160.9,2189885,207481
252490,2,0,2021-05-17,True,30.5,5987635,208810
397540,2,0,2021-12-26,True,192.3,13353017,211156
730,4,0,2015-07-29,False,116.9,3821259,211857
526870,0,0,2020-12-05,True,45.8,11338834,220198
374320,0,0,2017-07-02,True,23.1,3974548,229074
386360,4,4,2015-09-08,True,21.3,7995391,229218
218620,6,0,2016-02-15,False,81.8,11323835,231122
275850,0,0,2020-02-05,True,58.5,12411768,231574
1361210,2,0,2022-11-30,False,1.2,13716286,236048
270880,0,0,2020-01-28,True,139.6,5238482,236984
1659420,2,0,2022-10-25,True,5.5,6156243,237237
1384160,2,0,2021-09-18,False,77.9,7338785,238888
275850,15,3,2016-08-16,True,195.6,11397265,246026
1817070,0,0,2022-08-13,True,34.4,5078388,246791
105600,3,0,2012-01-18,True,575.4,13809086,246927
493520,0,0,2021-01-02,False,1.7,5106414,250995
108600,0,0,2022-10-30,True,111.4,5631937,252291
